Date,Open,High,Low,Close
2009-09-01,4662.2002,4735.8999,4600.6499,4625.3501
2009-09-02,4624,4650.4502,4576.6001,4608.3501
2009-09-03,4608.75,4647.3501,4581.0498,4593.5498
2009-09-04,4608.7002,4697.2002,4580.3501,4680.3999
2009-09-07,4682.3999,4790,4679.2998,4782.8999
2009-09-08,4782.8501,4842.2002,4782.6499,4805.25
2009-09-09,4804.8999,4825.0498,4783.5,4814.25
2009-09-10,4814.3501,4889.0498,4807.8999,4819.3999
2009-09-11,4819.3999,4856.1499,4791.5498,4829.5498
2009-09-14,4830.3501,4832.25,4786.25,4808.6001
2009-09-15,4808.3501,4899.4502,4808.3501,4892.1001
2009-09-16,4894.6499,4966.2998,4894.6499,4958.3999
2009-09-17,4958.5498,5003.0498,4944.1499,4965.5498
2009-09-18,4963.9502,4980.8501,4931.8999,4976.0498
2009-09-22,4977.1001,5036.2998,4977.1001,5020.2002
2009-09-23,5019.9502,5030.75,4957.0498,4969.9502
2009-09-24,4977.1499,5016.7002,4904.0498,4986.5498
2009-09-25,4985.1001,4994.3501,4931.25,4958.9502
2009-09-29,4959.1499,5020.25,4959.1001,5006.8501
2009-09-30,5007.6499,5087.6001,5004.3501,5083.9502
2009-10-01,5087.2002,5110.5,5057.0498,5083.3999
2009-10-05,5076.0498,5076.0498,4991.9502,5003.2002
2009-10-06,5003.6499,5034.7002,4921.0498,5027.3999
2009-10-07,5031.7002,5077,4972.9502,4985.75
2009-10-08,5011.25,5043.0498,4971.75,5002.25
2009-10-09,4993,5032.6001,4934.5498,4945.2002
2009-10-12,4945.4502,5068.0498,4945.4502,5054.25
2009-10-14,5054.3501,5127.3999,5054.3501,5118.2002
2009-10-15,5118.5498,5152.25,5077.1001,5108.8501
2009-10-16,5108.6499,5149.6499,5093.2002,5142.1499
2009-10-20,5145.6001,5181.9502,5102.6499,5114.4502
2009-10-21,5114.8501,5117.4502,5051.6499,5063.6001
2009-10-22,5063.3501,5064.25,4968.4502,4988.6001
2009-10-23,4986.5498,5054.9502,4983.25,4997.0498
2009-10-26,4997.1499,5033.75,4961.3501,4970.8999
2009-10-27,4970.5498,4970.5498,4829.5,4846.7002
2009-10-28,4846.5498,4867,4784.1001,4826.1499
2009-10-29,4826.1001,4826.1001,4738.3999,4750.5498
2009-10-30,4751.1001,4853.6499,4687.5,4711.7002
2009-11-03,4712.25,4729.8501,4538.5,4563.8999
2009-11-04,4567.2998,4717.7998,4565,4710.7998
2009-11-05,4711.6499,4776.3501,4610.6001,4765.5498
2009-11-06,4767.5,4836.2002,4764.8501,4796.1499
2009-11-09,4796.1499,4905.25,4789.8999,4898.3999
2009-11-10,4898.8999,4947.7002,4860.1001,4881.7002
2009-11-11,4882.2998,5016.7002,4870.0498,5003.9502
2009-11-12,5004.3999,5014.3999,4924.75,4952.6499
2009-11-13,4952.3501,5017.8999,4942.6499,4998.9502
2009-11-16,4996.5,5073.2002,4994,5058.0498
2009-11-17,5058.9502,5074,5010.1499,5062.25
2009-11-18,5061.5,5079.2998,5041.6499,5054.7002
2009-11-19,5043.9502,5053.4502,4963.7002,4989
2009-11-20,4988.75,5063.2998,4932.7998,5052.4502
2009-11-23,5052.9502,5113.1001,5052.1001,5103.5498
2009-11-24,5105,5112.8501,5053.5,5090.5498
2009-11-25,5091.5498,5138,5078.3501,5108.1499
2009-11-26,5116.4502,5116.4502,4986.0498,5005.5498
2009-11-27,5005.0498,5005.0498,4806.7002,4941.75
2009-11-30,4942.25,5066.3501,4942.25,5032.7002
2009-12-01,5039.7002,5130.3501,5038.8501,5122
2009-12-02,5122.75,5161.75,5111.75,5123.25
2009-12-03,5124.5498,5181,5106.6001,5131.7002
2009-12-04,5131.7002,5161.7998,5081.8501,5108.8999
2009-12-07,5108.8501,5131.2998,5051.5498,5066.7002
2009-12-08,5068.5498,5152.5498,5058.8999,5147.9502
2009-12-09,5147.6499,5147.6499,5090.6001,5112
2009-12-10,5112.3999,5146.4502,5084.6499,5134.6499
2009-12-11,5136.0498,5182.5498,5088.3999,5117.2998
2009-12-14,5117.4502,5156.7002,5090.1499,5105.7002
2009-12-15,5105.75,5129.4502,5018.25,5033.0498
2009-12-16,5032.9502,5067.25,5001.7998,5042.0498
2009-12-17,5046.6499,5064.2002,5013.1499,5041.75
2009-12-18,5042,5043.3999,4979.0498,4987.7002
2009-12-21,4983.6499,4997.8501,4943.9502,4952.6001
2009-12-22,4953.3501,4997.2998,4953.3501,4985.8501
2009-12-23,4990.0498,5150.6001,4990.0498,5144.6001
2009-12-24,5144.7998,5197.8999,5129.0498,5178.3999
2009-12-29,5180.75,5214.6001,5175.8501,5187.9502
2009-12-30,5188.75,5197.0498,5160.1001,5169.4502
2009-12-31,5171.2002,5221.8501,5168.75,5201.0498
2010-01-04,5200.8999,5238.4502,5167.1001,5232.2002
2010-01-05,5277.1499,5288.3501,5242.3999,5277.8999
2010-01-06,5278.1499,5310.8501,5260.0498,5281.7998
2010-01-07,5281.7998,5302.5498,5244.75,5263.1001
2010-01-08,5264.25,5276.75,5234.7002,5244.75
2010-01-11,5263.7998,5287.2002,5227.7998,5249.3999
2010-01-12,5251.1001,5300.5,5200.9502,5210.3999
2010-01-13,5212.6001,5239.2002,5169.5498,5233.9502
2010-01-14,5234.5,5272.8501,5232.5,5259.8999
2010-01-15,5259.8999,5279.8501,5242.4502,5252.2002
2010-01-18,5253.6499,5292.5,5228.9502,5274.8501
2010-01-19,5274.2002,5287.7998,5218.6499,5225.6499
2010-01-20,5226.1001,5256.7002,5201.3999,5221.7002
2010-01-21,5220.2002,5220.3501,5085.4502,5094.1499
2010-01-22,5094.1499,5094.1499,4954.8501,5036
2010-01-25,5034.5498,5035.7002,4983.0498,5007.8999
2010-01-27,5008.5,5008.5,4833.0498,4853.1001
2010-01-28,4863,4929.8999,4824.9502,4867.25
2010-01-29,4866.1499,4893.7002,4766,4882.0498
2010-02-01,4882.0498,4918.7998,4827.1499,4899.7002
2010-02-02,4907.8501,4951.1499,4814.1001,4830.1001
2010-02-03,4831,4949.1499,4831,4931.8501
2010-02-04,4931.2998,4931.2998,4832.3501,4845.3501
2010-02-05,4819.6499,4827,4692.3501,4718.6499
2010-02-08,4755.3501,4799.0498,4675.3999,4760.3999
2010-02-09,4760.5498,4810.3999,4739.3501,4792.6499
2010-02-10,4793,4826.8501,4748.1001,4757.2002
2010-02-11,4757.25,4843.7998,4757.25,4826.8501
2010-02-15,4827.8999,4845.6001,4783.8999,4801.9502
2010-02-16,4801.7998,4880,4791.3501,4855.75
2010-02-17,4858.6499,4929.7002,4857.6001,4914
2010-02-18,4915.1001,4922.0498,4873.7002,4887.75
2010-02-19,4887.2998,4887.2998,4805.5498,4844.8999
2010-02-22,4849.3501,4912.0498,4845.8999,4856.3999
2010-02-23,4856.6001,4884.1001,4833.1499,4870.0498
2010-02-24,4869.5498,4880.5498,4834.6499,4858.6001
2010-02-25,4859,4880.1499,4835.6001,4859.75
2010-02-26,4858.5,4992,4858.4502,4922.2998
2010-03-02,4935.6001,5029.4502,4935.3501,5017
2010-03-03,5015.7998,5093.25,5015.1001,5088.1001
2010-03-04,5096.9502,5096.9502,5049,5080.25
2010-03-05,5080.5498,5118.6499,5068.0498,5088.7002
2010-03-08,5092.1499,5147.1001,5092.1499,5124
2010-03-09,5121.0498,5131.7998,5094.3501,5101.5
2010-03-10,5101.6001,5137.3999,5092.0498,5116.25
2010-03-11,5116.3501,5152.6001,5102.1001,5133.3999
2010-03-12,5131.7998,5158.1001,5122.1001,5137
2010-03-15,5134.4502,5151.0498,5101.2002,5128.8999
2010-03-16,5128.9502,5209.25,5125.7002,5198.1001
2010-03-17,5198.4502,5260.5,5177.1499,5231.8999
2010-03-18,5232.5498,5255.6499,5214.3999,5245.8999
2010-03-19,5246.7998,5269.9502,5237.1001,5262.7998
2010-03-22,5260.9502,5260.9502,5187.0498,5205.2002
2010-03-23,5205.8501,5243.6001,5193.3999,5225.2998
2010-03-25,5225.2998,5267.2998,5202.9502,5260.3999
2010-03-26,5260.5498,5293.75,5260.5498,5282
2010-03-29,5283.8999,5329.5498,5242.1499,5302.8501
2010-03-30,5302.9502,5325,5251.3501,5262.4502
2010-03-31,5260.3999,5293.8999,5235.1499,5249.1001
2010-04-01,5249.2002,5298.6001,5249.2002,5290.5
2010-04-05,5291.3999,5377.5498,5291.3999,5368.3999
2010-04-06,5369.6499,5388.6499,5351.7002,5366
2010-04-07,5365.7002,5399.6499,5345.0498,5374.6499
2010-04-08,5376.2998,5383.6499,5290.25,5304.4502
2010-04-09,5302.3999,5377.4502,5302.25,5361.75
2010-04-12,5354.1499,5382.1499,5324.8999,5339.7002
2010-04-13,5340.8501,5356.5,5301.7002,5322.9502
2010-04-15,5323.2998,5373.1499,5265.2998,5273.6001
2010-04-16,5273.3999,5283.0498,5237.5498,5262.6001
2010-04-19,5279.0498,5279.0498,5160.8999,5203.6499
2010-04-20,5208.2998,5257.25,5208.2998,5230.1001
2010-04-21,5230.2998,5266.2998,5230.2998,5244.8999
2010-04-22,5248.6001,5331.7998,5221.1001,5269.3501
2010-04-23,5269.6499,5311.0498,5269.6499,5304.1001
2010-04-26,5299.3501,5342.3501,5299.3501,5322.4502
2010-04-27,5322.1001,5330.5498,5301.3999,5308.3501
2010-04-28,5308.2002,5308.25,5202.4502,5215.4502
2010-04-29,5215.25,5264.75,5214.7998,5254.1499
2010-04-30,5254.2002,5294.7998,5254.2002,5278
2010-05-03,5278.3999,5278.7002,5210.0498,5222.75
2010-05-04,5223.8999,5250.1499,5134.8501,5148.5
2010-05-05,5148.3501,5148.3501,5056.5,5124.8999
2010-05-06,5124.3999,5124.8999,5037.75,5090.8501
2010-05-07,5072.2998,5085.6499,4984.6001,5018.0498
2010-05-10,5026.6001,5203.2998,5026.6001,5193.6001
2010-05-11,5189.75,5206.7002,5126.5,5136.1499
2010-05-12,5133.75,5172.8501,5098.7998,5156.6499
2010-05-13,5157.5498,5212.7002,5147.9502,5178.8999
2010-05-14,5180.5498,5192.75,5070.9502,5093.5
2010-05-17,5093.8999,5094.5498,4966.25,5059.8999
2010-05-18,5059.5498,5105.2002,5024.25,5066.2002
2010-05-19,5065.1001,5065.1001,4908.1499,4919.6499
2010-05-20,4924.2998,4980.25,4924.2998,4947.6001
2010-05-21,4946.7002,4946.7002,4842.2998,4931.1499
2010-05-24,4944.2998,5029.5498,4923.4502,4943.9502
2010-05-25,4945.2998,4946.6001,4786.4502,4806.75
2010-05-26,4807.2998,4925.4502,4807.2998,4917.3999
2010-05-27,4915.1499,5016.6001,4897.6001,5003.1001
2010-05-28,5005.6001,5077.25,5005.6001,5066.5498
2010-05-31,5076.1001,5097.6001,5038.5498,5086.2998
2010-06-01,5086.25,5086.9502,4961.0498,4970.2002
2010-06-02,4970.75,5031.2002,4967.0498,5019.8501
2010-06-03,5020.1499,5125.7002,5020.1499,5110.5
2010-06-04,5112.6001,5147.8999,5091.6001,5135.5
2010-06-07,5132.9502,5132.9502,5004.25,5034
2010-06-08,5036.7002,5071.3501,4967.2998,4987.1001
2010-06-09,4985.0498,5050.6001,4980.1001,5000.2998
2010-06-10,4999.6001,5085.2002,4997.6001,5078.6001
2010-06-11,5078.75,5139.0498,5078.75,5119.3501
2010-06-14,5120.1499,5201.25,5120.1499,5197.7002
2010-06-15,5201.2998,5231.4502,5171.0498,5222.3501
2010-06-16,5225.0498,5255.6499,5214.8999,5233.3501
2010-06-17,5233.6499,5285.5498,5206.5498,5274.8501
2010-06-18,5274.9502,5302.2998,5245.5,5262.6001
2010-06-21,5266.5,5366.75,5266.5,5353.2998
2010-06-22,5353.9502,5354.3501,5311.0498,5316.5498
